code,code_desc,p1,p2,p3,p4,p5
A042,Enteroinvasive Escherichia coli infection,,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A043,Enterohemorrhagic Escherichia coli infection,,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A044,Other intestinal Escherichia coli infections,,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A045,Campylobacter enteritis,,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A046,Enteritis due to Yersinia enterocolitica,,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0471,Enterocolitis due to Clostridium difficile recurrent,Enterocolitis due to Clostridium difficile,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0472,Enterocolitis due to Clostridium difficile not specified as recurrent,Enterocolitis due to Clostridium difficile,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A047,Enterocolitis due to Clostridium difficile,,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A048,Other specified bacterial intestinal infections,,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A049,Bacterial intestinal infection unspecified,,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A050,Foodborne staphylococcal intoxication,,Other bacterial foodborne intoxications not elsewhere classified,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A051,Botulism food poisoning,,Other bacterial foodborne intoxications not elsewhere classified,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,,Other bacterial foodborne intoxications not elsewhere classified,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A053,Foodborne Vibrio parahaemolyticus intoxication,,Other bacterial foodborne intoxications not elsewhere classified,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A054,Foodborne Bacillus cereus intoxication,,Other bacterial foodborne intoxications not elsewhere classified,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A055,Foodborne Vibrio vulnificus intoxication,,Other bacterial foodborne intoxications not elsewhere classified,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A058,Other specified bacterial foodborne intoxications,,Other bacterial foodborne intoxications not elsewhere classified,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A059,Bacterial foodborne intoxication unspecified,,Other bacterial foodborne intoxications not elsewhere classified,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A060,Acute amebic dysentery,,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A061,Chronic intestinal amebiasis,,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A062,Amebic nondysenteric colitis,,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A063,Ameboma of intestine,,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A064,Amebic liver abscess,,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A065,Amebic lung abscess,,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A066,Amebic brain abscess,,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A067,Cutaneous amebiasis,,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0681,Amebic cystitis,Amebic infection of other sites,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0682,Other amebic genitourinary infections,Amebic infection of other sites,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0689,Other amebic infections,Amebic infection of other sites,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A068,Amebic infection of other sites,,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A069,Amebiasis unspecified,,Amoebiasis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A070,Balantidiasis,,Other protozoal intestinal diseases,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A071,Giardiasis [lambliasis],,Other protozoal intestinal diseases,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A072,Cryptosporidiosis,,Other protozoal intestinal diseases,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A073,Isosporiasis,,Other protozoal intestinal diseases,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A074,Cyclosporiasis,,Other protozoal intestinal diseases,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A078,Other specified protozoal intestinal diseases,,Other protozoal intestinal diseases,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A079,Protozoal intestinal disease unspecified,,Other protozoal intestinal diseases,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A080,Rotaviral enteritis,,Viral and other specified intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0811,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent and other small round viruses,Viral and other specified intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0819,Acute gastroenteropathy due to other small round viruses,Acute gastroenteropathy due to Norwalk agent and other small round viruses,Viral and other specified intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A081,Acute gastroenteropathy due to Norwalk agent and other small round viruses,,Viral and other specified intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A082,Adenoviral enteritis,,Viral and other specified intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0831,Calicivirus enteritis,Other viral enteritis,Viral and other specified intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0832,Astrovirus enteritis,Other viral enteritis,Viral and other specified intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0839,Other viral enteritis,Other viral enteritis,Viral and other specified intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A083,Other viral enteritis,,Viral and other specified intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A084,Viral intestinal infection unspecified,,Viral and other specified intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A088,Other specified intestinal infections,,Viral and other specified intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A09,Other gastroenteritis and colitis of infectious and unspecified origin,,Other gastroenteritis and colitis of infectious and unspecified origin,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A150,Tuberculosis of lung,,Respiratory tuberculosis bacteriologically and histologically confirmed,Tuberculosis,Certain infectious and parasitic diseases,root
A154,Tuberculosis of intrathoracic lymph nodes,,Respiratory tuberculosis bacteriologically and histologically confirmed,Tuberculosis,Certain infectious and parasitic diseases,root
A155,Tuberculosis of larynx trachea and bronchus,,Respiratory tuberculosis bacteriologically and histologically confirmed,Tuberculosis,Certain infectious and parasitic diseases,root
A156,Tuberculous pleurisy,,Respiratory tuberculosis bacteriologically and histologically confirmed,Tuberculosis,Certain infectious and parasitic diseases,root
A157,Primary respiratory tuberculosis,,Respiratory tuberculosis bacteriologically and histologically confirmed,Tuberculosis,Certain infectious and parasitic diseases,root
A158,Other respiratory tuberculosis,,Respiratory tuberculosis bacteriologically and histologically confirmed,Tuberculosis,Certain infectious and parasitic diseases,root
A159,Respiratory tuberculosis unspecified,,Respiratory tuberculosis bacteriologically and histologically confirmed,Tuberculosis,Certain infectious and parasitic diseases,root
A170,Tuberculous meningitis,,Tuberculosis of nervous system,Tuberculosis,Certain infectious and parasitic diseases,root
A171,Meningeal tuberculoma,,Tuberculosis of nervous system,Tuberculosis,Certain infectious and parasitic diseases,root
A1781,Tuberculoma of brain and spinal cord,Other tuberculosis of nervous system,Tuberculosis of nervous system,Tuberculosis,Certain infectious and parasitic diseases,root
A1782,Tuberculous meningoencephalitis,Other tuberculosis of nervous system,Tuberculosis of nervous system,Tuberculosis,Certain infectious and parasitic diseases,root
A1783,Tuberculous neuritis,Other tuberculosis of nervous system,Tuberculosis of nervous system,Tuberculosis,Certain infectious and parasitic diseases,root
A1789,Other tuberculosis of nervous system,Other tuberculosis of nervous system,Tuberculosis of nervous system,Tuberculosis,Certain infectious and parasitic diseases,root
A178,Other tuberculosis of nervous system,,Tuberculosis of nervous system,Tuberculosis,Certain infectious and parasitic diseases,root
A179,Tuberculosis of nervous system unspecified,,Tuberculosis of nervous system,Tuberculosis,Certain infectious and parasitic diseases,root
A1801,Tuberculosis of spine,Tuberculosis of bones and joints,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1802,Tuberculous arthritis of other joints,Tuberculosis of bones and joints,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1803,Tuberculosis of other bones,Tuberculosis of bones and joints,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1809,Other musculoskeletal tuberculosis,Tuberculosis of bones and joints,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A180,Tuberculosis of bones and joints,,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1810,Tuberculosis of genitourinary system unspecified,Tuberculosis of genitourinary system,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1811,Tuberculosis of kidney and ureter,Tuberculosis of genitourinary system,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1812,Tuberculosis of bladder,Tuberculosis of genitourinary system,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1813,Tuberculosis of other urinary organs,Tuberculosis of genitourinary system,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1814,Tuberculosis of prostate,Tuberculosis of genitourinary system,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1815,Tuberculosis of other male genital organs,Tuberculosis of genitourinary system,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1816,Tuberculosis of cervix,Tuberculosis of genitourinary system,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1817,Tuberculous female pelvic inflammatory disease,Tuberculosis of genitourinary system,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1818,Tuberculosis of other female genital organs,Tuberculosis of genitourinary system,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A181,Tuberculosis of genitourinary system,,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A182,Tuberculous peripheral lymphadenopathy,,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1831,Tuberculous peritonitis,Tuberculosis of intestines peritoneum and mesenteric glands,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1832,Tuberculous enteritis,Tuberculosis of intestines peritoneum and mesenteric glands,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1839,Retroperitoneal tuberculosis,Tuberculosis of intestines peritoneum and mesenteric glands,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A183,Tuberculosis of intestines peritoneum and mesenteric glands,,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A184,Tuberculosis of skin and subcutaneous tissue,,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1850,Tuberculosis of eye unspecified,Tuberculosis of eye,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1851,Tuberculous episcleritis,Tuberculosis of eye,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1852,Tuberculous keratitis,Tuberculosis of eye,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1853,Tuberculous chorioretinitis,Tuberculosis of eye,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1854,Tuberculous iridocyclitis,Tuberculosis of eye,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1859,Other tuberculosis of eye,Tuberculosis of eye,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A185,Tuberculosis of eye,,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A186,Tuberculosis of (inner) (middle) ear,,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A187,Tuberculosis of adrenal glands,,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1881,Tuberculosis of thyroid gland,Tuberculosis of other specified organs,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1882,Tuberculosis of other endocrine glands,Tuberculosis of other specified organs,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1883,Tuberculosis of digestive tract organs not elsewhere classified,Tuberculosis of other specified organs,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1884,Tuberculosis of heart,Tuberculosis of other specified organs,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1885,Tuberculosis of spleen,Tuberculosis of other specified organs,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A1889,Tuberculosis of other sites,Tuberculosis of other specified organs,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A188,Tuberculosis of other specified organs,,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases,root
A190,Acute miliary tuberculosis of a single specified site,,Miliary tuberculosis,Tuberculosis,Certain infectious and parasitic diseases,root
A191,Acute miliary tuberculosis of multiple sites,,Miliary tuberculosis,Tuberculosis,Certain infectious and parasitic diseases,root
A192,Acute miliary tuberculosis unspecified,,Miliary tuberculosis,Tuberculosis,Certain infectious and parasitic diseases,root
A198,Other miliary tuberculosis,,Miliary tuberculosis,Tuberculosis,Certain infectious and parasitic diseases,root
A199,Miliary tuberculosis unspecified,,Miliary tuberculosis,Tuberculosis,Certain infectious and parasitic diseases,root
A200,Bubonic plague,,Plague,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A201,Cellulocutaneous plague,,Plague,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A202,Pneumonic plague,,Plague,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A203,Plague meningitis,,Plague,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A207,Septicemic plague,,Plague,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A208,Other forms of plague,,Plague,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A209,Plague unspecified,,Plague,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A210,Ulceroglandular tularemia,,Tularaemia,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A211,Oculoglandular tularemia,,Tularaemia,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A212,Pulmonary tularemia,,Tularaemia,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A213,Gastrointestinal tularemia,,Tularaemia,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A217,Generalized tularemia,,Tularaemia,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A218,Other forms of tularemia,,Tularaemia,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A219,Tularemia unspecified,,Tularaemia,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A220,Cutaneous anthrax,,Anthrax,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A221,Pulmonary anthrax,,Anthrax,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A222,Gastrointestinal anthrax,,Anthrax,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A227,Anthrax sepsis,,Anthrax,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A228,Other forms of anthrax,,Anthrax,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A229,Anthrax unspecified,,Anthrax,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A230,Brucellosis due to Brucella melitensis,,Brucellosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A231,Brucellosis due to Brucella abortus,,Brucellosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A232,Brucellosis due to Brucella suis,,Brucellosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A233,Brucellosis due to Brucella canis,,Brucellosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A238,Other brucellosis,,Brucellosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A239,Brucellosis unspecified,,Brucellosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A240,Glanders,,Glanders and melioidosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A241,Acute and fulminating melioidosis,,Glanders and melioidosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A242,Subacute and chronic melioidosis,,Glanders and melioidosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A243,Other melioidosis,,Glanders and melioidosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A249,Melioidosis unspecified,,Glanders and melioidosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A250,Spirillosis,,Rat-bite fevers,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A251,Streptobacillosis,,Rat-bite fevers,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A259,Rat-bite fever unspecified,,Rat-bite fevers,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A260,Cutaneous erysipeloid,,Erysipeloid,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A267,Erysipelothrix sepsis,,Erysipeloid,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A268,Other forms of erysipeloid,,Erysipeloid,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A269,Erysipeloid unspecified,,Erysipeloid,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A270,Leptospirosis icterohemorrhagica,,Leptospirosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A2781,Aseptic meningitis in leptospirosis,Other forms of leptospirosis,Leptospirosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A2789,Other forms of leptospirosis,Other forms of leptospirosis,Leptospirosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A278,Other forms of leptospirosis,,Leptospirosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A279,Leptospirosis unspecified,,Leptospirosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A280,Pasteurellosis,,Other zoonotic bacterial diseases not elsewhere classified,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A281,Cat-scratch disease,,Other zoonotic bacterial diseases not elsewhere classified,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A282,Extraintestinal yersiniosis,,Other zoonotic bacterial diseases not elsewhere classified,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A288,Other specified zoonotic bacterial diseases not elsewhere classified,,Other zoonotic bacterial diseases not elsewhere classified,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A289,Zoonotic bacterial disease unspecified,,Other zoonotic bacterial diseases not elsewhere classified,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases,root
A300,Indeterminate leprosy,,Leprosy [Hansen disease],Other bacterial diseases,Certain infectious and parasitic diseases,root
A301,Tuberculoid leprosy,,Leprosy [Hansen disease],Other bacterial diseases,Certain infectious and parasitic diseases,root
A302,Borderline tuberculoid leprosy,,Leprosy [Hansen disease],Other bacterial diseases,Certain infectious and parasitic diseases,root
A303,Borderline leprosy,,Leprosy [Hansen disease],Other bacterial diseases,Certain infectious and parasitic diseases,root
A304,Borderline lepromatous leprosy,,Leprosy [Hansen disease],Other bacterial diseases,Certain infectious and parasitic diseases,root
A305,Lepromatous leprosy,,Leprosy [Hansen disease],Other bacterial diseases,Certain infectious and parasitic diseases,root
A308,Other forms of leprosy,,Leprosy [Hansen disease],Other bacterial diseases,Certain infectious and parasitic diseases,root
A309,Leprosy unspecified,,Leprosy [Hansen disease],Other bacterial diseases,Certain infectious and parasitic diseases,root
A310,Pulmonary mycobacterial infection,,Infection due to other mycobacteria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A311,Cutaneous mycobacterial infection,,Infection due to other mycobacteria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),,Infection due to other mycobacteria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A318,Other mycobacterial infections,,Infection due to other mycobacteria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A319,Mycobacterial infection unspecified,,Infection due to other mycobacteria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A320,Cutaneous listeriosis,,Listeriosis,Other bacterial diseases,Certain infectious and parasitic diseases,root
A3211,Listerial meningitis,Listerial meningitis and meningoencephalitis,Listeriosis,Other bacterial diseases,Certain infectious and parasitic diseases,root
A3212,Listerial meningoencephalitis,Listerial meningitis and meningoencephalitis,Listeriosis,Other bacterial diseases,Certain infectious and parasitic diseases,root
A321,Listerial meningitis and meningoencephalitis,,Listeriosis,Other bacterial diseases,Certain infectious and parasitic diseases,root
A327,Listerial sepsis,,Listeriosis,Other bacterial diseases,Certain infectious and parasitic diseases,root
A3281,Oculoglandular listeriosis,Other forms of listeriosis,Listeriosis,Other bacterial diseases,Certain infectious and parasitic diseases,root
A3282,Listerial endocarditis,Other forms of listeriosis,Listeriosis,Other bacterial diseases,Certain infectious and parasitic diseases,root
A3289,Other forms of listeriosis,Other forms of listeriosis,Listeriosis,Other bacterial diseases,Certain infectious and parasitic diseases,root
A328,Other forms of listeriosis,,Listeriosis,Other bacterial diseases,Certain infectious and parasitic diseases,root
A329,Listeriosis unspecified,,Listeriosis,Other bacterial diseases,Certain infectious and parasitic diseases,root
A33,Tetanus neonatorum,,Tetanus neonatorum,Other bacterial diseases,Certain infectious and parasitic diseases,root
A34,Obstetrical tetanus,,Obstetrical tetanus,Other bacterial diseases,Certain infectious and parasitic diseases,root
A35,Other tetanus,,Other tetanus,Other bacterial diseases,Certain infectious and parasitic diseases,root
A360,Pharyngeal diphtheria,,Diphtheria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A361,Nasopharyngeal diphtheria,,Diphtheria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A362,Laryngeal diphtheria,,Diphtheria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A363,Cutaneous diphtheria,,Diphtheria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A3681,Diphtheritic cardiomyopathy,Other diphtheria,Diphtheria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A3682,Diphtheritic radiculomyelitis,Other diphtheria,Diphtheria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A3683,Diphtheritic polyneuritis,Other diphtheria,Diphtheria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A3684,Diphtheritic tubulo-interstitial nephropathy,Other diphtheria,Diphtheria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A3685,Diphtheritic cystitis,Other diphtheria,Diphtheria,Other bacterial diseases,Certain infectious and parasitic diseases,root
A3686,Diphtheritic conjunctivitis,Other diphtheria,Diphtheria,Other bacterial diseases,Certain infectious and parasitic diseases,root
