code,code_desc,inclusions,exclusions,sub_sub_block,sub_block,block,category,chapter
1A08,paratyphoid fever,,,,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A09,infections due to other salmonella,,,,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A090,salmonella enteritis,,,,infections due to other salmonella,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A09Y,infections due to other salmonella in other organs,,,,infections due to other salmonella,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A09Z,"salmonella infection, unspecified",,,,infections due to other salmonella,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A0Y,other specified bacterial intestinal infections,,,,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A0Z,"bacterial intestinal infections, unspecified",,,,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A10,foodborne staphylococcal intoxication,,,,,bacterial foodborne intoxications,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A11,botulism,,,,,bacterial foodborne intoxications,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A110,foodborne intoxication by botulinum toxin,,,,botulism,bacterial foodborne intoxications,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A111,other forms of botulism,,,,botulism,bacterial foodborne intoxications,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A11Z,"botulism, unspecified",,,,botulism,bacterial foodborne intoxications,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A12,foodborne clostridium perfringens intoxication,"['enteritis necroticans', 'foodborne clostridium welchii intoxication']",,,,bacterial foodborne intoxications,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A13,foodborne bacillus cereus intoxication,,,,,bacterial foodborne intoxications,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A1Y,other specified bacterial foodborne intoxications,,,,,bacterial foodborne intoxications,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A1Z,"bacterial foodborne intoxications, unspecified",,,,,bacterial foodborne intoxications,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A20,enteritis due to adenovirus,,,,,viral intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A21,gastroenteritis due to astrovirus,,,,,viral intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A22,gastroenteritis due to rotavirus,,,,,viral intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A23,enteritis due to norovirus,,,,,viral intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A24,intestinal infections due to cytomegalovirus,,,,,viral intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A2Y,other specified viral intestinal infections,,,,,viral intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A2Z,"viral intestinal infections, unspecified",,,,,viral intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A30,infections due to balantidium coli,,,,,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A31,giardiasis,,,,,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A32,cryptosporidiosis,,,,,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A33,cystoisosporiasis,,,,,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A330,cystoisosporiasis of small intestine,"['infection due to isopora belli', 'infection due to isopora hominis']",,,cystoisosporiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A331,cystoisosporiasis of colon,,,,cystoisosporiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A33Y,other specified cystoisosporiasis,,,,cystoisosporiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A33Z,"cystoisosporiasis, unspecified",,,,cystoisosporiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A34,sarcocystosis,['sarcosporidiosis'],,,,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A35,blastocystosis,,,,,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A36,amoebiasis,['infection due to entamoeba histolytica'],,,,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A360,intestinal infections due to entamoeba,,,,amoebiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A3600,acute amoebiasis,['amoebic dysentery'],,intestinal infections due to entamoeba,amoebiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A3601,amoeboma of intestine,,,intestinal infections due to entamoeba,amoebiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A360Z,"intestinal infections due to entamoeba, unspecified",,,intestinal infections due to entamoeba,amoebiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A361,extraintestinal infections due to entamoeba,,,,amoebiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A3610,amoebic liver abscess,['hepatic amoebiasis'],,extraintestinal infections due to entamoeba,amoebiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A3611,amoebic lung abscess,,,extraintestinal infections due to entamoeba,amoebiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A3612,cutaneous amoebiasis,,,extraintestinal infections due to entamoeba,amoebiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A361Y,amoebiasis of other specified sites,,,extraintestinal infections due to entamoeba,amoebiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A36Z,"amoebiasis, unspecified",,,,amoebiasis,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A3Y,other specified protozoal intestinal infections,,,,,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A3Z,"protozoal intestinal infections, unspecified",,,,,protozoal intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A40,gastroenteritis or colitis without specification of infectious agent,"['enteritis septic', 'gastroenteritis septic']","['noninfectious neonatal diarrhoea', 'noninfective diarrhoea']",,,,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A400,gastroenteritis or colitis without specification of origin,,,,,gastroenteritis or colitis without specification of infectious agent,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A40Z,infectious gastroenteritis or colitis without specification of infectious agent,,,,,gastroenteritis or colitis without specification of infectious agent,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A60,congenital syphilis,,,,,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A600,"early congenital syphilis, symptomatic",,,,congenital syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A601,"early congenital syphilis, latent",,,,congenital syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A602,late congenital syphilitic oculopathy,,,,congenital syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A603,late congenital neurosyphilis,,,,congenital syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A604,"other late congenital syphilis, symptomatic",,,,congenital syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A605,"late congenital syphilis, latent",,,,congenital syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A60Z,"congenital syphilis, unspecified",,,,congenital syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A61,early syphilis,,['early congenital syphilis'],,,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A610,primary genital syphilis,,,,early syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A611,primary anal syphilis,,,,early syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A612,primary syphilis of other sites,,,,early syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A613,secondary syphilis of skin or mucous membranes,,,,early syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A614,secondary syphilis of other sites,,,,early syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A615,latent early syphilis,,,,early syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A61Y,other specified early syphilis,,,,early syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A61Z,"early syphilis, unspecified",,,,early syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A62,late syphilis,,['late congenital syphilis'],,,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A620,neurosyphilis,,,,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A6200,asymptomatic neurosyphilis,,,neurosyphilis,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A6201,symptomatic late neurosyphilis,,,neurosyphilis,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A620Z,"neurosyphilis, unspecified",,,neurosyphilis,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A621,cardiovascular late syphilis,"['syphilitic aortic incompetence', 'syphilitic pulmonary regurgitation', 'syphilitic endocarditis', 'syphilitic myocarditis', 'syphilitic aortitis', 'syphilitic aneurysm of aorta', 'syphilitic cerebral arteritis']",,,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A622,symptomatic late syphilis of other sites,,,,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A6220,ocular late syphilis,,,symptomatic late syphilis of other sites,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A6221,late syphilis involving the musculoskeletal system,,,symptomatic late syphilis of other sites,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A6222,late syphilis of skin or mucous membranes,,,symptomatic late syphilis of other sites,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A622Y,symptomatic late syphilis of other specified sites,,,symptomatic late syphilis of other sites,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A622Z,symptomatic late syphilis of unspecified site,,,symptomatic late syphilis of other sites,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A62Y,other specified late syphilis,,,,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A62Z,"late syphilis, unspecified",,,,late syphilis,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A63,"latent syphilis, unspecified as early or late",['positive serological reaction for syphilis'],,,,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A6Z,"syphilis, unspecified",,,,,syphilis,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A70,gonococcal genitourinary infection,,,,,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A700,gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,,['gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess'],,gonococcal genitourinary infection,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A7000,gonorrhoea of penis,,,gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,gonococcal genitourinary infection,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A700Y,other specified gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,,,gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,gonococcal genitourinary infection,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A700Z,"gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, unspecified",,,gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,gonococcal genitourinary infection,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A701,gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess,,,,gonococcal genitourinary infection,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A70Y,gonococcal infection of other specified genitourinary organ,,,,gonococcal genitourinary infection,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A70Z,"gonococcal genitourinary infection, unspecified",,,,gonococcal genitourinary infection,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A71,gonococcal pelviperitonitis,"['female gonococcal pelvic inflammatory disease', 'gonococcal peritonitis']",,,,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A72,gonococcal infection of other sites,,,,,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A720,gonococcal infection of musculoskeletal system,"['gonococcal arthritis', 'gonococcal bursitis', 'gonococcal osteomyelitis', 'gonococcal synovitis', 'gonococcal tenosynovitis']",,,gonococcal infection of other sites,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A721,gonococcal infection of rectum,,,,gonococcal infection of other sites,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A722,gonococcal infection of anus,,,,gonococcal infection of other sites,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A723,gonococcal pharyngitis,,,,gonococcal infection of other sites,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A724,gonococcal infection of eye,"['gonococcal anterior uveitis', 'gonococcal conjunctivitis']",,,gonococcal infection of other sites,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A72Y,gonococcal infection of other specified sites,,,,gonococcal infection of other sites,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A73,disseminated gonococcal infection,,,,,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A7Z,"gonococcal infection, unspecified",,,,,gonococcal infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A80,chlamydial lymphogranuloma,['durand-nicolas-favre disease'],,,,sexually transmissible infections due to chlamydia,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A81,non-ulcerative sexually transmitted chlamydial infection,,"['neonatal chlamydial pneumonia', 'neonatal conjunctivitis due to chlamydia', 'chlamydial lymphogranuloma', 'chlamydial peritonitis', 'trachoma']",,,sexually transmissible infections due to chlamydia,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A810,chlamydial infection of lower genitourinary tract,"['chlamydial cystitis or urethritis', 'chlamydial vulvovaginitis', 'chlamydial cervicitis']",,,non-ulcerative sexually transmitted chlamydial infection,sexually transmissible infections due to chlamydia,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A811,chlamydial infection of internal reproductive organs,['chlamydial female pelvic inflammatory disease'],,,non-ulcerative sexually transmitted chlamydial infection,sexually transmissible infections due to chlamydia,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A81Y,non-ulcerative sexually transmitted chlamydial infection of other specified site,,,,non-ulcerative sexually transmitted chlamydial infection,sexually transmissible infections due to chlamydia,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A81Z,non-ulcerative sexually transmitted chlamydial infection of unspecified site,,,,non-ulcerative sexually transmitted chlamydial infection,sexually transmissible infections due to chlamydia,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A8Y,other specified sexually transmissible infections due to chlamydia,,,,,sexually transmissible infections due to chlamydia,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A8Z,"sexually transmissible infections due to chlamydia, unspecified",,,,,sexually transmissible infections due to chlamydia,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A90,chancroid,['ulcus molle'],,,,,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A91,granuloma inguinale,['donovanosis'],,,,,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A92,trichomoniasis,,,,,,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A93,sexually transmissible infestations,,,,,,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A94,anogenital herpes simplex infection,,,,,,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A940,herpes simplex infection of genitalia or urogenital tract,,,,,anogenital herpes simplex infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A941,herpes simplex infection of perianal skin or rectum,,,,,anogenital herpes simplex infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A94Z,anogenital herpes simplex infection without further specification,,,,,anogenital herpes simplex infection,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A95,anogenital warts,,,,,,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A950,anal warts,['condylomata acuminata of anus'],,,,anogenital warts,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A951,genital warts,,,,,anogenital warts,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A952,extragenital condylomata acuminata,['anogenital warts affecting sites other than the anogenital area'],,,,anogenital warts,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A95Z,"anogenital warts, unspecified",,,,,anogenital warts,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A9Y,other specified predominantly sexually transmitted infections,,,,,,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1A9Z,"predominantly sexually transmitted infections, unspecified",,,,,,predominantly sexually transmitted infections,certain infectious or parasitic diseases
1B10,tuberculosis of the respiratory system,,,,,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B100,"respiratory tuberculosis, confirmed",,,,tuberculosis of the respiratory system,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B101,"respiratory tuberculosis, not confirmed",,,,tuberculosis of the respiratory system,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B10Z,"respiratory tuberculosis, without mention of bacteriological or histological confirmation",,,,tuberculosis of the respiratory system,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B11,tuberculosis of the nervous system,,,,,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B110,tuberculous meningitis,['tuberculous leptomeningitis'],,,tuberculosis of the nervous system,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B111,tuberculous meningoencephalitis,,,,tuberculosis of the nervous system,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B112,meningeal tuberculoma,['tuberculoma of meninges'],,,tuberculosis of the nervous system,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B113,tuberculous granuloma of brain,,,,tuberculosis of the nervous system,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B11Y,tuberculosis of other specified part of nervous system,,,,tuberculosis of the nervous system,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B11Z,"tuberculosis of the nervous system, unspecified",,,,tuberculosis of the nervous system,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B12,tuberculosis of other systems and organs,,,,,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B120,tuberculosis of heart,,,,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B121,tuberculosis of eye,['tuberculous episcleritis'],['lupus vulgaris of eyelid'],,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B122,tuberculosis of ear,['tuberculous otitis media'],"['tuberculosis of skin of external ear', 'tuberculous mastoiditis']",,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B123,tuberculosis of endocrine glands,"['tuberculosis of adrenal glands', 'tuberculosis of thyroid gland', 'tuberculosis of pituitary gland']",,,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B124,tuberculosis of the musculoskeletal system,,,,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B1240,tuberculosis of bones or joints,,,tuberculosis of the musculoskeletal system,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B1241,tuberculous myositis,,,tuberculosis of the musculoskeletal system,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B124Y,tuberculosis of other specified part of the musculoskeletal system,,,tuberculosis of the musculoskeletal system,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B124Z,"tuberculosis of the musculoskeletal system, unspecified",,,tuberculosis of the musculoskeletal system,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B125,tuberculosis of the genitourinary system,,,,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B126,tuberculous peripheral lymphadenopathy,['tuberculous adenitis'],"['tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically or histologically', 'tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation']",,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B127,tuberculosis of the digestive system,,,,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B128,cutaneous tuberculosis,,"['tuberculids', 'skin complications of bcg immunisation']",,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B12Y,tuberculosis of other specified organ or site,,,,tuberculosis of other systems and organs,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B13,miliary tuberculosis,,,,,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B130,acute miliary tuberculosis of a single specified site,,,,miliary tuberculosis,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B131,acute miliary tuberculosis of multiple sites,,,,miliary tuberculosis,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B132,"acute miliary tuberculosis, unspecified site",,,,miliary tuberculosis,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B13Y,other specified miliary tuberculosis,,,,miliary tuberculosis,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B13Z,"miliary tuberculosis, unspecified",,,,miliary tuberculosis,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B14,latent tuberculosis,,,,,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B1Y,other specified tuberculosis,,,,,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B1Z,"tuberculosis, unspecified",,,,,tuberculosis,mycobacterial diseases,certain infectious or parasitic diseases
1B20,leprosy,['infection due to mycobacterium leprae'],,,,,mycobacterial diseases,certain infectious or parasitic diseases
1B200,paucibacillary leprosy,,,,,leprosy,mycobacterial diseases,certain infectious or parasitic diseases
1B201,multibacillary leprosy,,,,,leprosy,mycobacterial diseases,certain infectious or parasitic diseases
1B202,leprosy reactions,,,,,leprosy,mycobacterial diseases,certain infectious or parasitic diseases
1B2020,type i leprosy reaction,,,,leprosy reactions,leprosy,mycobacterial diseases,certain infectious or parasitic diseases
1B2021,type ii leprosy reaction,,,,leprosy reactions,leprosy,mycobacterial diseases,certain infectious or parasitic diseases
1B203,complications of leprosy,,,,,leprosy,mycobacterial diseases,certain infectious or parasitic diseases
1B20Z,"leprosy, unspecified",,,,,leprosy,mycobacterial diseases,certain infectious or parasitic diseases
1B21,infections due to non-tuberculous mycobacteria,,"['leprosy', 'tuberculosis']",,,,mycobacterial diseases,certain infectious or parasitic diseases
1B210,pulmonary infection due to non-tuberculous mycobacterium,"['pulmonary infection due to mycobacterium avium-intracellulare complex', 'pulmonary infection due to mycobacterium kansasii', 'pulmonary infection due to mycobacterium xenopi', 'pulmonary infection due to mycobacterium malmoense']",,,,infections due to non-tuberculous mycobacteria,mycobacterial diseases,certain infectious or parasitic diseases
1B211,non-tuberculous mycobacterial lymphadenitis,,,,,infections due to non-tuberculous mycobacteria,mycobacterial diseases,certain infectious or parasitic diseases
1B212,cutaneous non-tuberculous mycobacterial infection,,"['leprosy', 'tuberculosis']",,,infections due to non-tuberculous mycobacteria,mycobacterial diseases,certain infectious or parasitic diseases
1B2120,mycobacterium ulcerans infection,,,,cutaneous non-tuberculous mycobacterial infection,infections due to non-tuberculous mycobacteria,mycobacterial diseases,certain infectious or parasitic diseases
1B212Y,cutaneous infection due to other specified non-tuberculous mycobacteria,,,,cutaneous non-tuberculous mycobacterial infection,infections due to non-tuberculous mycobacteria,mycobacterial diseases,certain infectious or parasitic diseases
1B212Z,cutaneous infection due to unspecified non-tuberculous mycobacteria,,,,cutaneous non-tuberculous mycobacterial infection,infections due to non-tuberculous mycobacteria,mycobacterial diseases,certain infectious or parasitic diseases
