code,code_desc,inclusions,exclusions,block,category,chapter
A049,"bacterial intestinal infection, unspecified",['bacterial enteritis nos'],,other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A05,"other bacterial foodborne intoxications, not elsewhere classified",,,"other bacterial foodborne intoxications, not elsewhere classified",intestinal infectious diseases,certain infectious and parasitic diseases
A050,foodborne staphylococcal intoxication,,,"other bacterial foodborne intoxications, not elsewhere classified",intestinal infectious diseases,certain infectious and parasitic diseases
A051,botulism,['classical foodborne intoxication due to clostridium botulinum'],,"other bacterial foodborne intoxications, not elsewhere classified",intestinal infectious diseases,certain infectious and parasitic diseases
A052,foodborne clostridium perfringens [clostridium welchii] intoxication,"['enteritis necroticans', 'pig-bel']",,"other bacterial foodborne intoxications, not elsewhere classified",intestinal infectious diseases,certain infectious and parasitic diseases
A053,foodborne vibrio parahaemolyticus intoxication,,,"other bacterial foodborne intoxications, not elsewhere classified",intestinal infectious diseases,certain infectious and parasitic diseases
A054,foodborne bacillus cereus intoxication,,,"other bacterial foodborne intoxications, not elsewhere classified",intestinal infectious diseases,certain infectious and parasitic diseases
A058,other specified bacterial foodborne intoxications,,,"other bacterial foodborne intoxications, not elsewhere classified",intestinal infectious diseases,certain infectious and parasitic diseases
A059,"bacterial foodborne intoxication, unspecified",,,"other bacterial foodborne intoxications, not elsewhere classified",intestinal infectious diseases,certain infectious and parasitic diseases
A06,amoebiasis,,,amoebiasis,intestinal infectious diseases,certain infectious and parasitic diseases
A060,acute amoebic dysentery,"['acute amoebiasis', 'intestinal amoebiasis nos']",,amoebiasis,intestinal infectious diseases,certain infectious and parasitic diseases
A061,chronic intestinal amoebiasis,,,amoebiasis,intestinal infectious diseases,certain infectious and parasitic diseases
A062,amoebic nondysenteric colitis,,,amoebiasis,intestinal infectious diseases,certain infectious and parasitic diseases
A063,amoeboma of intestine,['amoeboma nos'],,amoebiasis,intestinal infectious diseases,certain infectious and parasitic diseases
A064,amoebic liver abscess,['hepatic amoebiasis'],,amoebiasis,intestinal infectious diseases,certain infectious and parasitic diseases
A065,amoebic lung abscess,"['amoebic abscess of lung (and liver)', 'amoebic abscess of lung (and liver) with pneumonia']",,amoebiasis,intestinal infectious diseases,certain infectious and parasitic diseases
A066,amoebic brain abscess,['amoebic abscess of brain (and liver)(and lung)'],,amoebiasis,intestinal infectious diseases,certain infectious and parasitic diseases
A067,cutaneous amoebiasis,,,amoebiasis,intestinal infectious diseases,certain infectious and parasitic diseases
A068,amoebic infection of other sites,"['amoebic: appendicitis', 'amoebic: balanitis']",,amoebiasis,intestinal infectious diseases,certain infectious and parasitic diseases
A069,"amoebiasis, unspecified",,,amoebiasis,intestinal infectious diseases,certain infectious and parasitic diseases
A07,other protozoal intestinal diseases,,,other protozoal intestinal diseases,intestinal infectious diseases,certain infectious and parasitic diseases
A070,balantidiasis,['balantidial dysentery'],,other protozoal intestinal diseases,intestinal infectious diseases,certain infectious and parasitic diseases
A071,giardiasis [lambliasis],,,other protozoal intestinal diseases,intestinal infectious diseases,certain infectious and parasitic diseases
A072,cryptosporidiosis,,,other protozoal intestinal diseases,intestinal infectious diseases,certain infectious and parasitic diseases
A073,isosporiasis,"['infection due to isospora belli and isospora hominis', 'intestinal coccidiosis', 'isosporosis']",,other protozoal intestinal diseases,intestinal infectious diseases,certain infectious and parasitic diseases
A078,other specified protozoal intestinal diseases,"['intestinal trichomoniasis', 'sarcocystosis', 'sarcosporidiosis']",,other protozoal intestinal diseases,intestinal infectious diseases,certain infectious and parasitic diseases
A079,"protozoal intestinal disease, unspecified","['flagellate diarrhoea', 'protozoal: colitis', 'protozoal: diarrhoea', 'protozoal: dysentery']",,other protozoal intestinal diseases,intestinal infectious diseases,certain infectious and parasitic diseases
A08,viral and other specified intestinal infections,,,viral and other specified intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A080,rotaviral enteritis,,,viral and other specified intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A081,acute gastroenteropathy due to norovirus,"['noroviral enteritis', 'small round structured virus enteritis']",,viral and other specified intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A082,adenoviral enteritis,,,viral and other specified intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A083,other viral enteritis,,,viral and other specified intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A084,"viral intestinal infection, unspecified","['viral: enteritis nos', 'viral: gastroenteritis nos', 'viral: gastroenteropathy nos']",,viral and other specified intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A085,other specified intestinal infections,,,viral and other specified intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A09,other gastroenteritis and colitis of infectious and unspecified origin,,,other gastroenteritis and colitis of infectious and unspecified origin,intestinal infectious diseases,certain infectious and parasitic diseases
A090,other and unspecified gastroenteritis and colitis of infectious origin,"['catarrh, enteric or intestinal', 'diarrhoea: acute bloody', 'diarrhoea: acute haemorrhagic', 'diarrhoea: acute watery', 'diarrhoea: dysenteric', 'diarrhoea: epidemic', 'infectious or septic colitis nos', 'infectious or septic colitis haemorrhagic', 'infectious or septic enteritis nos', 'infectious or septic enteritis haemorrhagic', 'infectious or septic gastroenteritis nos', 'infectious or septic gastroenteritis haemorrhagic', 'infectious (neonatal) diarrhoea nos']",,other gastroenteritis and colitis of infectious and unspecified origin,intestinal infectious diseases,certain infectious and parasitic diseases
A099,gastroenteritis and colitis of unspecified origin,['neonatal diarrhoea nos'],['indeterminate colitis'],other gastroenteritis and colitis of infectious and unspecified origin,intestinal infectious diseases,certain infectious and parasitic diseases
A15,"respiratory tuberculosis, bacteriologically and histologically confirmed",,,"respiratory tuberculosis, bacteriologically and histologically confirmed",tuberculosis,certain infectious and parasitic diseases
A150,"tuberculosis of lung, confirmed by sputum microscopy with or without culture","['tuberculosis of lung, bacteriologically confirmed', 'tuberculous: bronchiectasis confirmed bacteriologically with or without culture', 'tuberculous: fibrosis of lung confirmed bacteriologically with or without culture', 'tuberculous: pneumonia confirmed bacteriologically with or without culture', 'tuberculous: pneumothorax confirmed bacteriologically with or without culture']",['confirmed by culture only'],"respiratory tuberculosis, bacteriologically and histologically confirmed",tuberculosis,certain infectious and parasitic diseases
A151,"tuberculosis of lung, confirmed by culture only","['conditions listed in a15.0, confirmed by culture only']",,"respiratory tuberculosis, bacteriologically and histologically confirmed",tuberculosis,certain infectious and parasitic diseases
A152,"tuberculosis of lung, confirmed histologically","['conditions listed in a15.0, confirmed histologically']",,"respiratory tuberculosis, bacteriologically and histologically confirmed",tuberculosis,certain infectious and parasitic diseases
A153,"tuberculosis of lung, confirmed by unspecified means","['conditions listed in a15.0, confirmed but unspecified whether bacteriologically or histologically']",,"respiratory tuberculosis, bacteriologically and histologically confirmed",tuberculosis,certain infectious and parasitic diseases
A154,"tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","['tuberculosis of lymph nodes: hilar confirmed bacteriologically and histologically', 'tuberculosis of lymph nodes: mediastinal confirmed bacteriologically and histologically', 'tuberculosis of lymph nodes: tracheobronchial confirmed bacteriologically and histologically']",['specified as primary'],"respiratory tuberculosis, bacteriologically and histologically confirmed",tuberculosis,certain infectious and parasitic diseases
A155,"tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","['tuberculosis of: bronchus confirmed bacteriologically and histologically', 'tuberculosis of: glottis confirmed bacteriologically and histologically', 'tuberculosis of: larynx confirmed bacteriologically and histologically', 'tuberculosis of: trachea confirmed bacteriologically and histologically']",,"respiratory tuberculosis, bacteriologically and histologically confirmed",tuberculosis,certain infectious and parasitic diseases
A156,"tuberculous pleurisy, confirmed bacteriologically and histologically","['tuberculosis of pleura confirmed bacteriologically and histologically', 'tuberculous empyema confirmed bacteriologically and histologically']","['in primary respiratory tuberculosis, confirmed bacteriologically and histologically']","respiratory tuberculosis, bacteriologically and histologically confirmed",tuberculosis,certain infectious and parasitic diseases
A157,"primary respiratory tuberculosis, confirmed bacteriologically and histologically",,,"respiratory tuberculosis, bacteriologically and histologically confirmed",tuberculosis,certain infectious and parasitic diseases
A158,"other respiratory tuberculosis, confirmed bacteriologically and histologically","['mediastinal tuberculosis confirmed bacteriologically and histologically', 'nasopharyngeal tuberculosis confirmed bacteriologically and histologically', 'tuberculosis of: nose confirmed bacteriologically and histologically', 'tuberculosis of: sinus [any nasal] confirmed bacteriologically and histologically']",,"respiratory tuberculosis, bacteriologically and histologically confirmed",tuberculosis,certain infectious and parasitic diseases
A159,"respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",,,"respiratory tuberculosis, bacteriologically and histologically confirmed",tuberculosis,certain infectious and parasitic diseases
A16,"respiratory tuberculosis, not confirmed bacteriologically or histologically",,,"respiratory tuberculosis, not confirmed bacteriologically or histologically",tuberculosis,certain infectious and parasitic diseases
A160,"tuberculosis of lung, bacteriologically and histologically negative","['tuberculous: bronchiectasis bacteriologically and histologically negative', 'tuberculous: fibrosis of lung bacteriologically and histologically negative', 'tuberculous: pneumonia bacteriologically and histologically negative', 'tuberculous: pneumothorax bacteriologically and histologically negative']",,"respiratory tuberculosis, not confirmed bacteriologically or histologically",tuberculosis,certain infectious and parasitic diseases
A161,"tuberculosis of lung, bacteriological and histological examination not done","['conditions listed in a16.0, bacteriological and histological examination not done']",,"respiratory tuberculosis, not confirmed bacteriologically or histologically",tuberculosis,certain infectious and parasitic diseases
A162,"tuberculosis of lung, without mention of bacteriological or histological confirmation","['tuberculosis of lung nos (without mention of bacteriological or histological confirmation)', 'tuberculous: bronchiectasis nos (without mention of bacteriological or histological confirmation)', 'tuberculous: fibrosis of lung nos (without mention of bacteriological or histological confirmation)', 'tuberculous: pneumonia nos (without mention of bacteriological or histological confirmation)', 'tuberculous: pneumothorax nos (without mention of bacteriological or histological confirmation)']",,"respiratory tuberculosis, not confirmed bacteriologically or histologically",tuberculosis,certain infectious and parasitic diseases
A163,"tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","['tuberculosis of lymph nodes: hilar nos (without mention of bacteriological or histological confirmation)', 'tuberculosis of lymph nodes: intrathoracic nos (without mention of bacteriological or histological confirmation)', 'tuberculosis of lymph nodes: mediastinal nos (without mention of bacteriological or histological confirmation)', 'tuberculosis of lymph nodes: tracheobronchial nos (without mention of bacteriological or histological confirmation)']",['when specified as primary'],"respiratory tuberculosis, not confirmed bacteriologically or histologically",tuberculosis,certain infectious and parasitic diseases
A164,"tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","['tuberculosis of: bronchus nos (without mention of bacteriological or histological confirmation)', 'tuberculosis of: glottis nos (without mention of bacteriological or histological confirmation)', 'tuberculosis of: larynx nos (without mention of bacteriological or histological confirmation)', 'tuberculosis of: trachea nos (without mention of bacteriological or histological confirmation)']",,"respiratory tuberculosis, not confirmed bacteriologically or histologically",tuberculosis,certain infectious and parasitic diseases
A165,"tuberculous pleurisy, without mention of bacteriological or histological confirmation","['tuberculosis of pleura nos (without mention of bacteriological or histological confirmation)', 'tuberculous: empyema nos (without mention of bacteriological or histological confirmation)', 'tuberculous: pleurisy nos (without mention of bacteriological or histological confirmation)']",['in primary respiratory tuberculosis'],"respiratory tuberculosis, not confirmed bacteriologically or histologically",tuberculosis,certain infectious and parasitic diseases
A167,primary respiratory tuberculosis without mention of bacteriological or histological confirmation,"['primary: respiratory tuberculosis nos', 'primary: tuberculous complex']",,"respiratory tuberculosis, not confirmed bacteriologically or histologically",tuberculosis,certain infectious and parasitic diseases
A168,"other respiratory tuberculosis, without mention of bacteriological or histological confirmation","['mediastinal tuberculosis nos (without mention of bacteriological or histological confirmation)', 'nasopharyngeal tuberculosis nos (without mention of bacteriological or histological confirmation)', 'tuberculosis of: nose nos (without mention of bacteriological or histological confirmation)', 'tuberculosis of: sinus [any nasal] nos (without mention of bacteriological or histological confirmation)']",,"respiratory tuberculosis, not confirmed bacteriologically or histologically",tuberculosis,certain infectious and parasitic diseases
A169,"respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","['respiratory tuberculosis nos', 'tuberculosis nos']",,"respiratory tuberculosis, not confirmed bacteriologically or histologically",tuberculosis,certain infectious and parasitic diseases
A17,tuberculosis of nervous system,,,tuberculosis of nervous system,tuberculosis,certain infectious and parasitic diseases
A170,tuberculous meningitis,"['tuberculosis of meninges (cerebral)(spinal)', 'tuberculous leptomeningitis']",,tuberculosis of nervous system,tuberculosis,certain infectious and parasitic diseases
A171,meningeal tuberculoma,['tuberculoma of meninges'],,tuberculosis of nervous system,tuberculosis,certain infectious and parasitic diseases
A178,other tuberculosis of nervous system,"['tuberculoma of brain', 'tuberculoma of spinal cord', 'tuberculosis of brain', 'tuberculosis of spinal cord', 'tuberculous: abscess of brain', 'tuberculous: meningoencephalitis', 'tuberculous: myelitis', 'tuberculous: polyneuropathy']",,tuberculosis of nervous system,tuberculosis,certain infectious and parasitic diseases
A179,"tuberculosis of nervous system, unspecified",,,tuberculosis of nervous system,tuberculosis,certain infectious and parasitic diseases
A18,tuberculosis of other organs,,,tuberculosis of other organs,tuberculosis,certain infectious and parasitic diseases
A180,tuberculosis of bones and joints,"['tuberculosis of: hip', 'tuberculosis of: knee', 'tuberculosis of: vertebral column', 'tuberculous: arthritis', 'tuberculous: mastoiditis', 'tuberculous: necrosis of bone', 'tuberculous: osteitis', 'tuberculous: osteomyelitis', 'tuberculous: synovitis', 'tuberculous: tenosynovitis']",,tuberculosis of other organs,tuberculosis,certain infectious and parasitic diseases
A181,tuberculosis of genitourinary system,"['tuberculosis of: bladder', 'tuberculosis of: cervix', 'tuberculosis of: kidney', 'tuberculosis of: male genital organs', 'tuberculosis of: ureter', 'tuberculous female pelvic inflammatory disease']",,tuberculosis of other organs,tuberculosis,certain infectious and parasitic diseases
A182,tuberculous peripheral lymphadenopathy,['tuberculous adenitis'],"['tuberculosis of lymph nodes: intrathoracic', 'tuberculosis of lymph nodes: mesenteric and retroperitoneal', 'tuberculous tracheobronchial adenopathy']",tuberculosis of other organs,tuberculosis,certain infectious and parasitic diseases
A183,"tuberculosis of intestines, peritoneum and mesenteric glands","['tuberculosis (of): anus and rectum', 'tuberculosis (of): intestine (large)(small)', 'tuberculosis (of): retroperitoneal (lymph nodes)', 'tuberculous: ascites', 'tuberculous: enteritis', 'tuberculous: peritonitis']",,tuberculosis of other organs,tuberculosis,certain infectious and parasitic diseases
A184,tuberculosis of skin and subcutaneous tissue,"['erythema induratum, tuberculous', 'lupus: exedens', 'lupus: vulgaris: nos', 'lupus: vulgaris: of eyelid', 'scrofuloderma']","['lupus erythematosus', 'lupus erythematosus systemic']",tuberculosis of other organs,tuberculosis,certain infectious and parasitic diseases
A185,tuberculosis of eye,"['tuberculous: chorioretinitis', 'tuberculous: episcleritis', 'tuberculous: interstitial keratitis', 'tuberculous: iridocyclitis', 'tuberculous: keratoconjunctivitis (interstitial)(phlyctenular)']",['lupus vulgaris of eyelid'],tuberculosis of other organs,tuberculosis,certain infectious and parasitic diseases
A186,tuberculosis of ear,['tuberculous otitis media'],['tuberculous mastoiditis'],tuberculosis of other organs,tuberculosis,certain infectious and parasitic diseases
A187,tuberculosis of adrenal glands,"['addison disease, tuberculous']",,tuberculosis of other organs,tuberculosis,certain infectious and parasitic diseases
A188,tuberculosis of other specified organs,"['tuberculosis of: endocardium', 'tuberculosis of: myocardium', 'tuberculosis of: oesophagus', 'tuberculosis of: pericardium', 'tuberculosis of: thyroid gland', 'tuberculous cerebral arteritis']",,tuberculosis of other organs,tuberculosis,certain infectious and parasitic diseases
A19,miliary tuberculosis,,,miliary tuberculosis,tuberculosis,certain infectious and parasitic diseases
A190,acute miliary tuberculosis of a single specified site,,,miliary tuberculosis,tuberculosis,certain infectious and parasitic diseases
A191,acute miliary tuberculosis of multiple sites,,,miliary tuberculosis,tuberculosis,certain infectious and parasitic diseases
A192,"acute miliary tuberculosis, unspecified",,,miliary tuberculosis,tuberculosis,certain infectious and parasitic diseases
A198,other miliary tuberculosis,,,miliary tuberculosis,tuberculosis,certain infectious and parasitic diseases
A199,"miliary tuberculosis, unspecified",,,miliary tuberculosis,tuberculosis,certain infectious and parasitic diseases
A20,plague,,,plague,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A200,bubonic plague,,,plague,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A201,cellulocutaneous plague,,,plague,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A202,pneumonic plague,,,plague,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A203,plague meningitis,,,plague,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A207,septicaemic plague,,,plague,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A208,other forms of plague,"['abortive plague', 'asymptomatic plague', 'pestis minor']",,plague,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A209,"plague, unspecified",,,plague,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A21,tularaemia,,,tularaemia,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A210,ulceroglandular tularaemia,,,tularaemia,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A211,oculoglandular tularaemia,['ophthalmic tularaemia'],,tularaemia,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A212,pulmonary tularaemia,,,tularaemia,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A213,gastrointestinal tularaemia,['abdominal tularaemia'],,tularaemia,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A217,generalized tularaemia,,,tularaemia,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A218,other forms of tularaemia,,,tularaemia,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A219,"tularaemia, unspecified",,,tularaemia,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A22,anthrax,,,anthrax,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A220,cutaneous anthrax,"['malignant: carbuncle', 'malignant: pustule']",,anthrax,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A221,pulmonary anthrax,"['inhalation anthrax', 'ragpicker disease', 'woolsorter disease']",,anthrax,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A222,gastrointestinal anthrax,,,anthrax,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A227,anthrax sepsis,,,anthrax,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A228,other forms of anthrax,['anthrax meningitis'],,anthrax,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A229,"anthrax, unspecified",,,anthrax,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A23,brucellosis,,,brucellosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A230,brucellosis due to brucella melitensis,,,brucellosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A231,brucellosis due to brucella abortus,,,brucellosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A232,brucellosis due to brucella suis,,,brucellosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A233,brucellosis due to brucella canis,,,brucellosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A238,other brucellosis,,,brucellosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A239,"brucellosis, unspecified",,,brucellosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A24,glanders and melioidosis,,,glanders and melioidosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A240,glanders,"['infection due to pseudomonas mallei', 'infection due to burkholderia mallei', 'malleus']",,glanders and melioidosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A241,acute and fulminating melioidosis,"['melioidosis: pneumonia', 'melioidosis: sepsis']",,glanders and melioidosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A242,subacute and chronic melioidosis,,,glanders and melioidosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A243,other melioidosis,,,glanders and melioidosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A244,"melioidosis, unspecified","['infection due to pseudomonas pseudomallei nos', 'infection due to burkholderia pseudomallei nos', 'whitmore disease']",,glanders and melioidosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A25,rat-bite fevers,,,rat-bite fevers,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A250,spirillosis,['sodoku'],,rat-bite fevers,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A251,streptobacillosis,"['epidemic arthritic erythema', 'haverhill fever', 'streptobacillary rat-bite fever']",,rat-bite fevers,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A259,"rat-bite fever, unspecified",,,rat-bite fevers,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A26,erysipeloid,,,erysipeloid,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A260,cutaneous erysipeloid,['erythema migrans'],,erysipeloid,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A267,erysipelothrix sepsis,,,erysipeloid,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A268,other forms of erysipeloid,,,erysipeloid,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A269,"erysipeloid, unspecified",,,erysipeloid,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A27,leptospirosis,,,leptospirosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A270,leptospirosis icterohaemorrhagica,['leptospirosis due to leptospira interrogans serovar icterohaemorrhagiae'],,leptospirosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A278,other forms of leptospirosis,,,leptospirosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A279,"leptospirosis, unspecified",,,leptospirosis,certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A28,"other zoonotic bacterial diseases, not elsewhere classified",,,"other zoonotic bacterial diseases, not elsewhere classified",certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A280,pasteurellosis,,,"other zoonotic bacterial diseases, not elsewhere classified",certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A281,cat-scratch disease,['cat-scratch fever'],,"other zoonotic bacterial diseases, not elsewhere classified",certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A282,extraintestinal yersiniosis,,"['enteritis due to yersinia enterocolitica', 'plague']","other zoonotic bacterial diseases, not elsewhere classified",certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A288,"other specified zoonotic bacterial diseases, not elsewhere classified",,,"other zoonotic bacterial diseases, not elsewhere classified",certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A289,"zoonotic bacterial disease, unspecified",,,"other zoonotic bacterial diseases, not elsewhere classified",certain zoonotic bacterial diseases,certain infectious and parasitic diseases
A30,leprosy [hansen disease],,,leprosy [hansen disease],other bacterial diseases,certain infectious and parasitic diseases
A300,indeterminate leprosy,['i leprosy'],,leprosy [hansen disease],other bacterial diseases,certain infectious and parasitic diseases
A301,tuberculoid leprosy,['tt leprosy'],,leprosy [hansen disease],other bacterial diseases,certain infectious and parasitic diseases
A302,borderline tuberculoid leprosy,['bt leprosy'],,leprosy [hansen disease],other bacterial diseases,certain infectious and parasitic diseases
A303,borderline leprosy,['bb leprosy'],,leprosy [hansen disease],other bacterial diseases,certain infectious and parasitic diseases
A304,borderline lepromatous leprosy,['bl leprosy'],,leprosy [hansen disease],other bacterial diseases,certain infectious and parasitic diseases
A305,lepromatous leprosy,['ll leprosy'],,leprosy [hansen disease],other bacterial diseases,certain infectious and parasitic diseases
A308,other forms of leprosy,,,leprosy [hansen disease],other bacterial diseases,certain infectious and parasitic diseases
A309,"leprosy, unspecified",,,leprosy [hansen disease],other bacterial diseases,certain infectious and parasitic diseases
A31,infection due to other mycobacteria,,,infection due to other mycobacteria,other bacterial diseases,certain infectious and parasitic diseases
